Sentence,Sentiment,Cleaned_Sentence,word_count,char_count,label_encoded
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,circulation revenue has increased by in finland and in sweden in,11,64,2
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,sap q disappoints as software licenses down real problem cloud growth trails msft orcl goog crm adbe,17,100,0
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,the subdivision made sales revenues last year of eur million eur million in and operating profits of eur million eur million,21,124,2
Viking Line has canceled some services .,neutral,viking line has canceled some services,6,38,1
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,ahlstrom corporation stock exchange announcement at a total of new shares of ahlstrom corporation have been subscribed with option rights under the company s stock option programs i and ii,30,188,1
$FB gone green on day,positive,fb gone green on day,5,20,2
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,msft sql server revenue grew double digit with sql server premium revenue growing over,14,86,2
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,according to l nnen tehtaat s ceo matti karppinen the company aims to deliver fish products to its customers a day earlier than it currently does,26,145,1
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,the company s share is quoted on nasdaq omx helsinki rautaruukki oyj rtrks,13,74,1
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,elcoteq se is listed on the nasdaq omx helsinki ltd,10,51,1
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral,two of these contracts are for turntable anode vibrocompactors that will be delivered to gansu hualu aluminum co ltd and another unnamed costumer,23,145,1
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,aviva friends life top forecasts ahead of billion pound merger,10,62,2
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,in stead of being based on a soft drink as is usual the teho energy drink is made with fresh water,21,98,1
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,the company plans to increase the unit s specialist staff to several dozen depending on the market situation during,19,115,1
The company closed last year with a turnover of about four million euros .,neutral,the company closed last year with a turnover of about four million euros,13,72,1
Shire CEO steps up drive to get Baxalta board talking,positive,shire ceo steps up drive to get baxalta board talking,10,53,2
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,costco a premier retail dividend play cost,7,42,2
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,the five storey eco efficient building will have a gross floor area of about sq m it will also include apartments,21,113,1
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,the first installment of the cinema series concludes with a profile of finnish inventor olavi linden whose personal artistic journey and work at fiskars has led to dozens of design awards,31,187,1
All are welcome .,neutral,all are welcome,3,15,1
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,stockmann and swedish sector company ab lindex entered into an agreement on september whereby stockmann or a wholly owned subsidiary of it will make a public tender offer for all of lindex s issued shares,35,204,2
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,huhtamaki oyj stock exchange release at huhtamaki s capital markets day for institutional investors and analysts is held in espoo september starting at pm finnish time,26,167,1
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,we are pleased to welcome tapeks noma into cramo group,10,54,2
- Profit before taxes was EUR 105.9 82.7 million .,neutral,profit before taxes was eur million,6,35,1
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,royal dutch shell to buy bg group for nearly billion,10,52,2
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,financialwire tm is not a press release service and receives no compensation for its news opinions or distributions,18,115,1
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,assa abloy kaupthing bank gave a neutral recommendation and a share price target of crowns euro on swedish lock maker assa abloy ab,23,131,1
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,the item included restructuring costs of eur m while a year earlier they were eur m diluted eps stood at eur versus a loss per share of eur,28,139,2
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,in the bank posted a net profit of lt mn,10,40,1
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,aapl afternoon selloff as usual will be brutal get ready to lose a ton of money,16,79,0
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,tsla recalling pretty much every single model x cnnbrk got to short that even at work you jump in money trade,21,109,0
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,dolce gabbana has asked the european union to declare marimekko corporation s unikko floral pattern trademark invalid in a continuing dispute between the two companies,25,167,0
InterContinental Hotels first-quarter global room revenue lags estimates,negative,intercontinental hotels first quarter global room revenue lags estimates,9,72,0
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,according to finnish pension insurance company varma varma was the recipient of over two thirds of the revenue of the earnings related pension cover that was under competitive tendering in finland,31,196,2
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,a portion million will be recorded as part of its winnings in a prior patent dispute with finnish phone maker nokia oyj,22,119,2
"L&G still paying price for dividend cut during crisis, chief says",negative,l g still paying price for dividend cut during crisis chief says,12,64,0
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,the volume of investments in the two phases of the project is estimated at usd mn eur mn,18,88,1
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,russia accounted for of the lagardere magazine division s revenue or eur mn usd mn in the usa for,19,97,1
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,the company also estimates the already carried out investments to lead to an increase in its net sales for from when they reached eur million,25,141,2
Profit of the accounting period was EUR 0.3 mn .,neutral,profit of the accounting period was eur mn,8,42,1
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,the six breweries recorded a percent growth in domestic beer sales last year to million liters from million liters sold in,21,122,2
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,in august october the company s result before taxes totalled eur mn up from eur mn in the corresponding period in,21,113,2
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,systeemitiimi s sales and project resources will also be strengthened director paul skogberg said,14,97,2
Tesco share price jumps as Q3 sales top estimates,positive,tesco share price jumps as q sales top estimates,9,48,2
The fine print is here .,neutral,the fine print is here,5,22,1
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,the price for logs has clearly improved from and also the price of pulpwood has gone up,17,87,2
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,thus sysopen digia has in accordance with chapter section of the finnish companies act obtained title to all the shares of sentera that are to be redeemed,27,154,1
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,diluted earnings per share eps fell to eur from eur,10,51,1
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,at p m eastern time a block of contracts changed hands at a bid price of,16,72,1
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,some of the most recent technology deliveries include refinery technology to anrak aluminium an iron ore pelletizing plant to tata steel and iron ore sintering plants to bhushan steel,29,183,1
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,vips similar pattern like beginning of may did u sell same now will go up much higher after this drop,20,101,2
The firm generated sales of 187 mln eur in 2005 .,neutral,the firm generated sales of mln eur in,8,38,1
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,stora enso has also had meetings with the labor authorities employment and economic development centres and representatives of the government in order to find solutions,25,168,1
AstraZeneca profit down as sales of stalwarts fade,negative,astrazeneca profit down as sales of stalwarts fade,8,50,0
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,rt andrewnyquist chartology yahoo yhoo crazy looking chart but nearing breakout resistance line,13,95,2
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,most bullish stocks on twitter during this dip yhoo gdx googl stz gold ew vz celg sbux scty more,19,96,2
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,finnish geosentric s net sales decreased to eur in january march,11,64,0
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,cohen steers inc shares representing of the share capital and voting rights,12,75,1
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,more staff has been recruited in japan to further complement its network of close to service locations in more than countries worldwide,22,135,2
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,paper companies were in negative territories with stora enso r shedding pct to eur upm kymmene down pct at eur and m real b pct lower at eur,28,140,1
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,kauko telko s centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and group administration by the end of the year,28,178,1
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,operating profit for the quarter april june amounted to eur m on sales of eur bn,16,80,1
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,atria chose the delight to attract consumers in the age group to its atria fresh range of microwaveable meals,19,109,1
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,finnish it solutions provider affecto oyj hel afe v said today its slipped to a net loss of eur usd in the second quarter of from a profit of eur in the corresponding period a year earlier,37,188,1
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,us sanctions put gazprom shell alliance plans in jeopardy,9,57,0
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,profit for the period was eur mn down from eur mn in,12,52,1
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,profit for the period was eur mn up from eur mn,11,47,2
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,operating profit fell to eur mn from eur mn in the second quarter of,14,68,1
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,however sales returned to growth in april june ceo pekka eloholma said,12,70,2
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,operating profit totaled eur mn or of net sales,9,47,1
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the kauhava plant according to the company,25,174,0
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,in connection with the deal digia will employ persons from nokia in oslo and in silicon valley in the usa,20,105,1
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,the brazilian unit of finnish security solutions provider f secure signed up new clients last year online news source reseller web quoted the division s commercial director vladimir brand o as saying,32,199,2
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,the fair value of the company s investment properties went down to eur billion at the end of from eur billion a year earlier,24,124,1
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,dealers said the share was largely hit by investor disappointment about a refining margin of just usd per barrel for the quarter and the performance of its shipping unit which saw ebit drop to mln eur from mln eur a year amid a fall in volumes and tanker rates,49,260,0
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,it is a testament to the quality of our lte solution and our commitment to the japanese market he added,20,103,1
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,the companies aim is to finalize the negotiations and sign the contracts at the start of october,17,96,1
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,metso foundries jyvaskyla oy will discontinue production on this line by september the company said,15,99,1
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,a total six of the polled analysts rated m real two gave buy accumulate three gave hold and only one gave sell,22,110,1
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,in september the finnish group agreed to buy danish company rose poultry a s for up to eur m in a combination of cash and stock,26,127,2
$YANG Double bottom 5.2,positive,yang double bottom,3,18,2
Tesco share price down as grocer faces SFO investigation outcome,negative,tesco share price down as grocer faces sfo investigation outcome,10,64,0
$aapl news is becoming very bullish again http://stks.co/tMU,positive,aapl news is becoming very bullish again,7,40,2
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,gs engineering will install the valves at a liquefied natural gas lng plant it has built for uae lng extraction and gas plants operator gasco in ruwais uae,28,155,1
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,the percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the trade register and the total number of voting rights related to them,33,197,1
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,m real said there are no grounds for the rumors which have been circulating in the market for some months,20,105,1
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,lember said the matter was topical also in estonia where a bill has been drafted at the social affairs ministry that would scrap old age pensions on favorable conditions,29,169,1
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,moody s said it gave p a long term senior unsecured and p p short term debt ratings to finnish lender aktia bank s eur bn usd bn euro medium term note emtn program of march,36,172,1
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,the liquidity providing was interrupted on may when aspocomp group oyj s shares traded below cent aspocomp s stock exchange release,21,131,1
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,hargreaves lansdown bucks weak markets to see assets rise percent,10,65,2
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,at pm the omx helsinki index was pct lower at,10,45,0
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral,the decision means temporary lay offs of fixed duration at the company s nastola and jyvaskyla units in southern and central finland respectively,23,145,1
The value of the orders is over EUR 10mn .,neutral,the value of the orders is over eur mn,9,38,1
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,ms laakso will be responsible for hkscan s hr functions and for their development in all of the group smarket areas,21,115,1
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company wartsila corporation,22,150,1
Aberdeen Asset Management Gains Foothold In China,positive,aberdeen asset management gains foothold in china,7,49,2
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,finland s dominating rail company vr is planning to set the infected passengers for long distance trip in a separate carriage,21,125,1
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,in november the finnish government decreased its ownership in the company further to percent from percent,16,105,1
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,finnish exel composites a technology company that designs manufactures and markets composite profiles and tubes for various industrial applications reports its net sales decreased by in the second quarter of to eur mn from eur mn in the corresponding period in,41,260,1
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral,of bavelloni s and nst s joint ventures bavelloni tools completes semiproducts that are produced in italy into high quality tools that will be sold under the diapol brand,29,170,1
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,the tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind,27,150,1
$GOOGL is a short below 740 into the upper BB and is overbought,negative,googl is a short below into the upper bb and is overbought,12,58,0
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,lights out before curfew curl up with the latest bestseller and treat your eyes to the perfect reading light from luceplan,21,122,1
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,upm kymmene corp the world s largest maker of magazine paper on tuesday reported a percent profit drop as lower paper prices higher costs and a strong euro hurt revenue,30,168,0
The total value of the contract is some EUR 8 million .,neutral,the total value of the contract is some eur million,10,51,1
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,the prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire aspo shares to the amount determined by the board in advance in the maximum,32,180,1
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,mr doring has been with eaton since and acted as the business unit manager for eaton s power controls business unit since january,23,129,1
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,the sq m sq ft store in copenhagen s premier shopping district was inaugurated today further strengthening the company s presence in nordic capitals,24,148,2
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,in the financial statement for the first quarter of tikkurila is reported under discontinued operations,15,103,1
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,the world s second largest stainless steel maker said net profit in the three month period until dec surged to euro million us million or euro us per share from euro million or euro per share the previous year,39,209,2
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",neutral,name of applicant jot automation oyname of inventor mammila tuomo piirainen mika and kellokoski mikaapplication no kolnp adate of filing of application publication date,24,168,1
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,positive,netflix grows efforts to create loyal customers nflx,8,52,2
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",negative,the omx nordic omxn index comprising the most traded nordic stocks on the nasdaq omx exchange closed down at points on thursday,22,127,0
$AAPL nibbling on a small long via 525.. buying off 13min charts..,positive,aapl nibbling on a small long via buying off min charts,11,55,2
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,the operating margin of aker yards cruise ferries division went down from to in the first quarter of,18,100,0
"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive,tyc just about to break out to new highs lots of technicals looking great right now,16,83,2
"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 .",neutral,eero katajavuori currently group vice president human resources will take a year long sabbatical starting from october,17,118,1
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",neutral,whats up with lulu numbers looked good not great but good i think conference call will instill confidence,18,105,1
The adjustment measures will be carried out in phases to secure the delivery capability .,neutral,the adjustment measures will be carried out in phases to secure the delivery capability,14,87,1
"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .",neutral,alma media corporation press release march tyrvaan sanomat and paikallissanomat being bought by suomen paikallissanomat two local papers tyrvaan sanomat and paikallissanomat appearing in sastamala and its neighbouring municipalities are to be bought by suomen paikallissanomat oy,37,279,1
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",negative,temporary lay offs affecting the entire workforce will also be implemented,11,74,0
"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .",neutral,a meeting for the media and analysts will be held on the same day at a m at stonesoft headquarters in helsinki italahdenkatu a the interim report will be presented by stonesoft s ceo ilkka hiidenheimo,36,200,1
"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",neutral,finnish sampo rosenlew manufactures approximately seven forest machines monthly and about half of machines are exported,16,119,1
"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive,facebook near a buy point last week faces a different technical test today fb aapl nflx,16,87,2
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive,february finnish broadband data communication systems provider teleste oyj hel tlt v said wednesday its net profit rocketed to eur m in from eur in and it lifted its dividend proposal,31,183,2
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,positive,free ha heeeeeere comes the pump so glad i picked up k end of day get ready for the bull ride,21,93,2
"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",positive,finnish technology group aspocomp group oyj omx helsinki acg v issued its third quarter report on thursday november posting an operating profit of eur m as compared to a loss of eur m in the third quarter of,38,207,2
"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",neutral,the building complex consists of high quality office and retail space totalling square metres the company said,17,110,1
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,neutral,finnish insurance company fennia and kesko group are ending their loyal customer cooperation,13,92,1
The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,neutral,the unit is planned to be operational during the second half of and in full stream in,17,85,1
"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",neutral,itg s share in the deal is estimated at some euro,11,49,1
The plant is expected to enter commercial operation by mid-2009 .,neutral,the plant is expected to enter commercial operation by mid,10,58,1
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,aspo has also investigated the sales opportunities of kaukomarkkinat s electronics business,12,91,1
BG Group appoints new CEO one month early,neutral,bg group appoints new ceo one month early,8,41,1
The acquisition will have an immediate positive impact on Aspocomp 's financial result .,positive,the acquisition will have an immediate positive impact on aspocomp s financial result,13,85,2
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",negative,finnair s passenger load factor which measures the number of sold seats as a share of all available seats dropped by percentage points to in september,26,150,0
RT @bman1 $LNG looks primed also $EGHT poised to run too...,positive,rt bman lng looks primed also eght poised to run too,11,52,2
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,positive,it is also pct above the month volume weighted average price of the stock,14,73,2
Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,neutral,coke dividend google dividend for passive income coke takes it goog ko,12,70,1
"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",positive,profit before taxes was eur mn up from eur mn a year earlier,13,60,2
The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,neutral,the subsidiary is setting up a facility for manufacturing high density interconnection printed circuit boards or pcbs at nokia s special economic zone at sriperumbudur near chennai,27,180,1
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,positive,crm sep calls are since entry bang,7,34,2
